text	start	duration	sequence_id	sentence
Ever	9.457	0.1399999999999988	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
since	9.637	0.1399999999999988	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
I	9.817	0.03999999999999915	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
got	9.897	0.14000000000000057	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
bit	10.057	0.1399999999999988	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
by	10.217	0.09999999999999964	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
that	10.337	0.14100000000000001	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
spider,	10.538	0.33999999999999986	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
I've	12.419	0.16000000000000014	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
only	12.619	0.14000000000000057	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
had	12.819	0.11999999999999922	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
one	13.159	0.09999999999999964	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
week	13.319	0.21999999999999886	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
where	15.38	0.15999999999999837	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
my	15.58	0.11999999999999922	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
life	15.74	0.17999999999999972	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
has	15.96	0.11999999999999744	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
felt	16.14	0.24099999999999966	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
normal.	16.441	1.6400000000000006	0	 Ever since I got bit by that spider, I've only had one week where my life has felt normal.
That	18.121	0.16000000000000014	1	That was when you found out.
was	18.321	0.1609999999999978	1	That was when you found out.
when	18.522	0.16000000000000014	1	That was when you found out.
you	18.702	0.1599999999999966	1	That was when you found out.
found	18.882	0.1999999999999993	1	That was when you found out.
out.	19.162	0.10000000000000142	1	That was when you found out.
When	27.266	0.14000000000000057	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
you	27.426	0.08000000000000185	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
botched	27.546	0.3000000000000007	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
that	27.866	0.17999999999999972	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
spell	28.086	0.3410000000000011	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
where	28.447	0.14000000000000057	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
you	28.607	0.08000000000000185	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
wanted	28.727	0.1999999999999993	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
everyone	28.967	0.3200000000000003	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
to	29.307	0.08000000000000185	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
forget	29.427	0.28000000000000114	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
that	29.747	0.10000000000000142	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
Peter	29.867	0.21999999999999886	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
Parker's	30.127	0.36100000000000065	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
Spider-Man,	30.508	0.6000000000000014	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
we	35.73	0.12000000000000455	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
started	35.87	0.30000000000000426	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
getting	36.21	0.24099999999999966	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
some	36.491	0.14000000000000057	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
visitors.	36.671	0.4200000000000017	2	When you botched that spell where you wanted everyone to forget that Peter Parker's Spider-Man, we started getting some visitors.
on	42.075	0.03999999999999915	3	 on every universe.
every	42.175	0.35999999999999943	3	 on every universe.
universe.	43.316	4.300999999999995	3	 on every universe.
Hello,	51.599	0.3200000000000003	4	Hello, Peter.
Peter.	51.979	0.3200000000000003	4	Hello, Peter.
You're	57.422	0.14000000000000057	5	You're not Peter Parker.
not	57.582	0.14000000000000057	5	You're not Peter Parker.
Peter	57.742	0.17999999999999972	5	You're not Peter Parker.
Parker.	57.982	0.5	5	You're not Peter Parker.
I'm	61.943	0.12000000000000455	6	I'm sorry, what was your name again?
sorry,	62.083	0.2010000000000005	6	I'm sorry, what was your name again?
what	62.304	0.0799999999999983	6	I'm sorry, what was your name again?
was	62.404	0.0799999999999983	6	I'm sorry, what was your name again?
your	62.504	0.10000000000000142	6	I'm sorry, what was your name again?
name	62.644	0.12000000000000455	6	I'm sorry, what was your name again?
again?	62.804	0.23999999999999488	6	I'm sorry, what was your name again?
Dr.	63.104	0.35999999999999943	7	Dr. Otto Octavius.
Otto	63.644	0.240000000000002	7	Dr. Otto Octavius.
Octavius.	64.044	0.6610000000000014	7	Dr. Otto Octavius.
Wait,	68.686	0.1599999999999966	8	Wait, no, seriously, what's your actual name?
no,	68.866	0.12000000000000455	8	Wait, no, seriously, what's your actual name?
seriously,	69.006	0.30100000000000193	8	Wait, no, seriously, what's your actual name?
what's	69.327	0.1599999999999966	8	Wait, no, seriously, what's your actual name?
your	69.507	0.09999999999999432	8	Wait, no, seriously, what's your actual name?
actual	69.687	0.28000000000000114	8	Wait, no, seriously, what's your actual name?
name?	70.007	0.1799999999999926	8	Wait, no, seriously, what's your actual name?
There	72.043	0.11999999999999034	9	 There are others out there.
are	72.183	0.0799999999999983	9	 There are others out there.
others	72.323	0.20000000000000284	9	 There are others out there.
out	72.624	0.14000000000000057	9	 There are others out there.
there.	72.784	0.19999999999998863	9	 There are others out there.
We	73.184	0.14000000000000057	10	We need to send them back.
need	73.384	0.22100000000000364	10	We need to send them back.
to	73.625	0.0799999999999983	10	We need to send them back.
send	73.765	0.1799999999999926	10	We need to send them back.
them	73.965	0.11999999999999034	10	We need to send them back.
back.	74.125	0.29999999999999716	10	We need to send them back.
So,	75.286	0.3400000000000034	11	So, Scooby-Doo this crap.
Scooby-Doo	76.027	0.7000000000000028	11	So, Scooby-Doo this crap.
this	76.768	0.20000000000000284	11	So, Scooby-Doo this crap.
crap.	77.048	0.4200000000000017	11	So, Scooby-Doo this crap.
You	77.929	0.0799999999999983	12	You know, all this is kind of your mess.
know,	78.029	0.14000000000000057	12	You know, all this is kind of your mess.
